respondent_id,age_bin,gender,group_size,backpacking,training,fitness,footwear,pack_weight_bin,pack_weight_body_weight_bin,mi_day_bin,dificulty,whitney
3520080101,60 and up,Male,Group of 2+,51 to 100,9 to 16,Sig. above avg.,Hiking shoes,30 to 35,16 to 20%,14 to 16,Fairly,Summited
3520425772,50 to 59,Male,Group of 2+,Over 100,Over 16,Above avg.,Hiking shoes,30 to 35,16 to 20%,10 to 12,Somewhat,Summited
3520950270,50 to 59,Male,Mix of group/solo,Over 100,2 to 4,Above avg.,Trail runners,25 to 30,16 to 20%,14 to 16,Fairly,Summited
3527547882,40 to 49,Male,Solo,6 to 10,Under 2,Below avg.,Trail runners,35 to 40,16 to 20%,16 to 18,Somewhat,Attempted
3527798975,50 to 59,Male,Solo,21 to 50,2 to 4,Average,Boots,25 to 30,16 to 20%,10 to 12,Minimally,Not planned
3555768675,60 and up,Male,Solo,21 to 50,9 to 16,Above avg.,Trail runners,35 to 40,16 to 20%,10 to 12,Very,Not planned
3538893540,30 to 39,Male,Solo,Over 100,Over 16,Below avg.,Boots,35 to 40,16 to 20%,14 to 16,Somewhat,Summited
3527818475,60 and up,Male,Solo,21 to 50,9 to 16,Sig. above avg.,Hiking shoes,25 to 30,16 to 20%,18 to 20,Somewhat,Attempted
3539395414,50 to 59,Male,Solo,Over 100,9 to 16,Average,Hiking shoes,25 to 30,16 to 20%,12 to 14,Fairly,Attempted
3528939933,50 to 59,Male,Group of 2+,6 to 10,9 to 16,Above avg.,Hiking shoes,35 to 40,16 to 20%,16 to 18,Fairly,Summited
3527783553,Under 30,Male,Solo,21 to 50,5 to 8,Above avg.,Trail runners,25 to 30,16 to 20%,16 to 18,Fairly,Summited
3520030816,50 to 59,Male,Solo,Over 100,Over 16,Sig. above avg.,Trail runners,25 to 30,16 to 20%,20 and up,Very,Summited
3666951886,40 to 49,Male,Group of 2+,Over 100,Under 2,Sig. above avg.,Hiking shoes,30 to 35,16 to 20%,20 and up,Fairly,Attempted
3522984674,60 and up,Male,Group of 2+,51 to 100,9 to 16,Above avg.,Hiking shoes,30 to 35,16 to 20%,8 to 10,Somewhat,Not planned
3529190557,30 to 39,Male,Group of 2+,Under 5,9 to 16,Above avg.,Trail runners,25 to 30,16 to 20%,20 and up,Death march,Attempted
3576383266,Under 30,Male,Group of 2+,51 to 100,2 to 4,Below avg.,Hiking shoes,35 to 40,16 to 20%,16 to 18,Fairly,Attempted
